jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458202.8314005 1551.9181874882172 36.0285636626397 26.2807 18.30352794296993 0.025205073233813692 20.641657617632593 g
2458205.7815856 1521.3232325025406 71.0383802884314 26.2952 18.33964625615902 0.05069689848374887 19.919042362294675 g
2458205.809456 1578.3652046048655 73.5135538394806 26.2914 18.29588125441036 0.05056729910838662 19.878056443659602 g
2458206.7815856 1756.5547644025717 71.1551710284028 26.3075 18.1958457639724 0.043979937745813345 19.92955882201303 g
2458208.7814236 924.3007172183507 163.148945252104 25.635 18.22046677492269 0.19163764190649776 18.35611431304531 g
2458208.8175 973.196319525776 194.239360682482 25.4659 17.995398855427517 0.21669386706654642 17.99763188924761 g
2458214.7042361 2521.5563271054184 141.668018955506 26.275 17.770828315066066 0.060997633297589476 19.149395436913718 r
2458214.8821991 262.4921256145849 64.4751395957752 23.8827 17.834909300677708 0.26667717705907323 17.61179426139406 i
2458215.7387269 1155.1967922316212 44.0299079159893 25.7404 18.083760064321048 0.0413810628161828 19.883605546214042 r
2458215.7482986 2482.329254359955 124.118470697392 26.275 17.787851536275348 0.05428587823290344 19.292983949493543 r
2458216.7370486 2639.088437336387 31.7807230305555 26.275 17.72136514020997 0.013074336769516932 20.77216555554916 r
2458216.7613426 1585.6027778835712 30.9720168986626 26.2288 18.22831400499884 0.021207277898290314 20.753951270291807 g
2458217.7550926 2551.821750848062 30.5882124730218 26.275 17.75787416277563 0.013014083868092677 20.813689743558804 r
2458218.7430671 2641.007778060083 28.1724993561348 26.275 17.72057579936474 0.011581519299205829 20.903011545069013 r
2458218.7440162 2602.001947359354 28.9382396833734 26.275 17.736730956861997 0.01207464385494537 20.87389471565861 r
2458218.7608565 2582.631443682986 37.9819693234323 26.275 17.74484391429482 0.0159670572412934 20.578631292467154 r
2458218.7977778 2451.812958230635 25.4866501459557 26.1791 17.70538165992187 0.011285875609138202 20.915893095536823 r
2458218.7987153 2471.9537507142663 28.1864346512461 26.1929 17.710299147466838 0.012379686348102388 20.82037462736462 r
2458219.7177315 2489.6770180865483 37.1503175969913 26.2337 17.7433424739884 0.01620053505817891 20.56136866195136 r
2458219.7420255 2190.3653264864433 37.8222292222151 26.0533 17.702008610108386 0.018747372308175133 20.361507183282985 r
2458219.7593519 2721.0854985781343 37.1418848902646 26.275 17.688144530356432 0.01481943307052701 20.60291513990544 r
2458221.7164468 1752.47886400314 41.8579085400236 25.8587 17.74956802798551 0.02593191406491177 20.056831177374654 r
2458221.7528588 1881.766912339165 49.3022180879697 25.9485 17.762085430159864 0.028445296719331974 19.96890884301069 r
2458221.7538194 1962.874073824888 46.6366188157631 25.963 17.73076890305959 0.025795529995263012 20.043757348487865 r
2458222.7579282 2685.876944388146 34.1172333449071 26.275 17.702284721905997 0.01379105633262873 20.695140474521253 r
2458224.7180787 1428.5222108184057 35.939768039998 25.5962 17.708982506927484 0.02731480537405942 19.959836814689584 r
2458224.7265046 2233.770157026416 31.9935845924666 26.0555 17.68290378873858 0.015550138264126793 20.54541773518961 r
2458224.7317014 2057.558847127367 35.1255190025279 25.958 17.674619337291396 0.018534476442453783 20.346518114295705 r
2458224.7842477 2406.427518695307 34.8714530355464 26.1258 17.67236803671674 0.015732838935127894 20.52219987895257 r
2458224.7851852 2372.6794408069773 33.2609412533499 26.1238 17.685702332177513 0.015219672450350082 20.57153865120317 r
2458226.7547569 2587.590970351443 25.7754809944784 26.275 17.742760932603588 0.010814862177349612 20.999558043233364 r
2458227.7528704 2637.017734802407 28.2921186839945 26.2303 17.677517373562562 0.01164829225447528 20.853711311016387 r
2458227.7538889 2638.217272774345 28.153736802592 26.228 17.67472360150286 0.011586048034031118 20.856734873514792 r
2458229.7629051 1574.045681149919 30.8342541168744 26.3076 18.315056669803482 0.021267965787520285 20.837591370983958 g
2458230.796331 1073.5068752911602 32.5097625109973 25.8076 18.230587924432978 0.032879015468453995 20.280140496866892 g
2458230.8080093 562.3441136210907 35.7536458749827 25.2619 18.38689461627206 0.06902843363383053 19.631174153351928 g
2458231.6871181 2530.3678017296543 32.7091440764991 26.275 17.76704086835297 0.014034448944370986 20.740902039709383 r
2458231.7776389 2696.674016405927 37.3625025950306 26.2331 17.656028873608847 0.015042407358338488 20.554585093631275 r
2458232.7965394 2063.7627064325998 87.2205761374135 26.3451 18.058450599505704 0.045884819614789615 19.74612761143862 i
2458233.6771296 2565.5936283195088 50.8440463272702 26.2445 17.721530329133707 0.021516026734785258 20.2314747247541 r
2458233.678588 2755.340052436758 49.1703294113746 26.275 17.674561986782514 0.01937482329802365 20.298317194636347 r
2458233.7230556 1583.465224266486 52.5299236984389 26.2519 18.252878675180774 0.03601704495014352 20.203458064221046 g
2458233.7240046 1628.4646441028417 49.9562368507534 26.2733 18.243854165111483 0.03330590353636056 20.279400699157428 g
2458234.6910648 1189.659395250455 92.0921066641653 25.9501 18.26154340310835 0.08404455981641275 19.292118969560967 g
2458235.6738194 1586.3536942060482 69.0879720441899 26.2854 18.284399939272866 0.04728378767127216 19.939468876857653 g
2458235.7105671 1663.3015144827152 72.931896297307 26.2982 18.24577254260554 0.04760541556688943 19.893481224731758 g
2458236.6722106 1710.2771527382577 83.3667577320329 26.2446 18.16193376473363 0.05292200081416866 19.694692710632317 g
2458236.6731481 1632.097726412593 75.5519885652906 26.2486 18.216734600519377 0.05025850637365554 19.805560239988324 g
2458237.7120833 1714.1680590791757 89.4374096263947 26.278 18.192866503942305 0.05664683524877865 19.65177695850103 g
2458238.6506366 1740.0249249403748 77.9600805978444 26.2977 18.196311326582958 0.04864370520898145 19.82059429057354 g
2458242.7055556 1620.4577066265767 24.8743283134344 26.2715 18.24740574854085 0.01666569768495605 21.0346965835761 g
2458242.7065046 1601.7678090591419 24.5332857269924 26.2771 18.265601096648176 0.016628994641514974 21.055285696962294 g
2458242.7586574 2578.335461302499 28.980224281574 26.275 17.74665144562321 0.012203155863438458 20.8723206336415 r
2458242.7601157 2560.1709664215923 28.3463905465692 26.275 17.754327579597074 0.012020945718100235 20.896330573195705 r
2458243.6718171 2523.828519769094 25.6474457823872 26.275 17.769850390851843 0.01103301261073212 21.004964688137775 r
2458243.7109954 1558.2790959885356 23.7837247517971 26.2643 18.2826868881727 0.016570837682093945 21.076175313781626 g
2458243.8522917 1978.363752406906 37.8646114840584 25.659 17.41823463430022 0.020779600636246832 19.96599122657233 i
